	xB0005	xB0013	xB0014	xB0028	xB0029	xB0030	xB0031	xB0037	xB0038	xB0044	xB0045	xB0046	xB0049	xB0050	xB0051	xB0052	xB0053	xB0054	xB0055	xB0056	xB0057	xB0058	xB0059	xB0060	xB0061	xB0062	xB0063	xB0064	xB0065	xB0066	xB0067	xB0068	xB0069	xB0070	xB0071	xB0072	xB0073	xB0074	xB0075	xB0076	xB0077	xB0078	xB0079	xB0080	xB0081	xB0082	xB0083	xB0084	xB0085	xB0086	xB0087	xB0088	xB0089	xB0090	xB0091	xB0092	xB0093	xB0094	xB0095	xB0096	xB0097	xB0098	xB0100	xB0101	xB0102	xB0103	xB0104	xB0106	xB0107	xB0108	xB0109	xB0110	xB0111	xB0112	xB0113	xB0115	xB0116	xB0117	xB0118	xB0119	xB0120	xB0121	xB0122	xB0123	xB0124	xB0125	xB0126	xB0127	xB0128	xB0129	xB0130	xB0131	xB0133	xB0134	xB0135	xB0136	xB0137	xB0139	xB0140	xB0141	xB0142	xB0143	xB0144	xB0145	xB0146	xB0147	xB0149	xB0150	xB0151	xB0152	xB0153	xB0154	xB0155	xB0156	xB0157	xB0158	xB0159	xB0160	xB0161	xB0162	xB0163	xB0164	xB0165	xB0166	xB0167	xB0168	xB0169	xB0170	x100	x11	x117	x118	x122	x123	x124	x15	x150	x154	x165	x173	x185	x19	x2	x21	x22	x23	x25	x27	x3	x30	x31	x36	x38	x39	x4	x41	x43	x45	x46	x47	x48	x49	x54	x57	x58	x59	x62	x67	x68	x7	x70	x75	x82	x86	x92	x98	xDRA190709_004	xDRA190709_006	xDRA190709_010	xDRA190709_011	xDRA190709_012	xDRA190709_013	xDRA190824_001	xDRA190824_003	xDRA190824_005	xFJ190610_013	xFJ190627_004	xFJ190627_005	xFJ190628_004	xFJ190628_011	xFJ190709_003	xFJ190709_009	xFJ190709_010	xFJ190711_009	xFJ190716_013	xFJ190814_001	xFJ190815_001	xFJ190822_006	xFJ190827_004	xFJ190827_007	xFJ190827_008	xFJ190827_009	xFJ190827_010	xFJ190827_012	xFJ190827_013	xFJ190827_016	xHFN190709_002	xJL190619_007	xJL190619_009	xJL190628_001	xJL190628_005	xJL190628_006	xJL190711_005	xJL190724_005	xJL190731_001	xJL190809_003	xMY190522_006	xMY190619_002	xPF190709_005	xPF190724_008
xB0097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001554177433717996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.81719078682363e-05	1.097307904274203e-05	4.781032475875691e-05	3.92299443774391e-06	0.0	0.0	1.031155412792306e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01826802641153336	0.0	1.52331253389093e-07	0.0	0.0	0.02144507318735123	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002609588555060327	0.0	0.0	0.0	0.0001812721748137847	0.0	0.0001798282901290804	0.0	0.0001766756031429395	0.0	0.0001842760830186307	0.0	0.0004040187923237681	0.0	0.0	0.0001700663415249437	0.0	0.0002032246702583507	0.0	0.0	0.0	0.0	0.0	0.0	0.0001754480181261897	0.0001902147778309882	0.000187081765034236	0.02348746359348297	0.0	0.0	0.0	0.0	0.0	0.0	0.02348746359348297	0.0	0.0	0.0	0.0	0.02591794356703758	0.00019343156600371	0.0	0.0	0.02369221858680248	0.0	0.0	0.0001750145020196214	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001032759246299975	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002428304869681597	0.0	0.0	0.02348746359348297	0.0	0.0	0.014980498701334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
xB0098	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001554177433717996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.81719078682363e-05	1.097307904274203e-05	4.781032475875691e-05	3.92299443774391e-06	0.0	0.0	1.031155412792306e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01826802641153336	0.0	1.52331253389093e-07	0.0	0.0	0.02144507318735123	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002609588555060327	0.0	0.0	0.0	0.0001812721748137847	0.0	0.0001798282901290804	0.0	0.0001766756031429395	0.0	0.0001842760830186307	0.0	0.0004040187923237681	0.0	0.0	0.0001700663415249437	0.0	0.0002032246702583507	0.0	0.0	0.0	0.0	0.0	0.0	0.0001754480181261897	0.0001902147778309882	0.000187081765034236	0.02348746359348297	0.0	0.0	0.0	0.0	0.0	0.0	0.02348746359348297	0.0	0.0	0.0	0.0	0.02591794356703758	0.00019343156600371	0.0	0.0	0.02369221858680248	0.0	0.0	0.0001750145020196214	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001032759246299975	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002428304869681597	0.0	0.0	0.02348746359348297	0.0	0.0	0.014980498701334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
xB0100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001554177433717996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.81719078682363e-05	1.097307904274203e-05	4.781032475875691e-05	3.92299443774391e-06	0.0	0.0	1.031155412792306e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01826802641153336	0.0	1.52331253389093e-07	0.0	0.0	0.02144507318735123	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002609588555060327	0.0	0.0	0.0	0.0001812721748137847	0.0	0.0001798282901290804	0.0	0.0001766756031429395	0.0	0.0001842760830186307	0.0	0.0004040187923237681	0.0	0.0	0.0001700663415249437	0.0	0.0002032246702583507	0.0	0.0	0.0	0.0	0.0	0.0	0.0001754480181261897	0.0001902147778309882	0.000187081765034236	0.02348746359348297	0.0	0.0	0.0	0.0	0.0	0.0	0.02348746359348297	0.0	0.0	0.0	0.0	0.02591794356703758	0.00019343156600371	0.0	0.0	0.02369221858680248	0.0	0.0	0.0001750145020196214	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001032759246299975	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002428304869681597	0.0	0.0	0.02348746359348297	0.0	0.0	0.014980498701334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
xB0101	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001554177433717996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.81719078682363e-05	1.097307904274203e-05	4.781032475875691e-05	3.92299443774391e-06	0.0	0.0	1.031155412792306e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01826802641153336	0.0	1.52331253389093e-07	0.0	0.0	0.02144507318735123	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002609588555060327	0.0	0.0	0.0	0.0001812721748137847	0.0	0.0001798282901290804	0.0	0.0001766756031429395	0.0	0.0001842760830186307	0.0	0.0004040187923237681	0.0	0.0	0.0001700663415249437	0.0	0.0002032246702583507	0.0	0.0	0.0	0.0	0.0	0.0	0.0001754480181261897	0.0001902147778309882	0.000187081765034236	0.02348746359348297	0.0	0.0	0.0	0.0	0.0	0.0	0.02348746359348297	0.0	0.0	0.0	0.0	0.02591794356703758	0.00019343156600371	0.0	0.0	0.02369221858680248	0.0	0.0	0.0001750145020196214	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001032759246299975	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002428304869681597	0.0	0.0	0.02348746359348297	0.0	0.0	0.014980498701334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
xB0102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001554177433717996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.81719078682363e-05	1.097307904274203e-05	4.781032475875691e-05	3.92299443774391e-06	0.0	0.0	1.031155412792306e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01826802641153336	0.0	1.52331253389093e-07	0.0	0.0	0.02144507318735123	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002609588555060327	0.0	0.0	0.0	0.0001812721748137847	0.0	0.0001798282901290804	0.0	0.0001766756031429395	0.0	0.0001842760830186307	0.0	0.0004040187923237681	0.0	0.0	0.0001700663415249437	0.0	0.0002032246702583507	0.0	0.0	0.0	0.0	0.0	0.0	0.0001754480181261897	0.0001902147778309882	0.000187081765034236	0.02348746359348297	0.0	0.0	0.0	0.0	0.0	0.0	0.02348746359348297	0.0	0.0	0.0	0.0	0.02591794356703758	0.00019343156600371	0.0	0.0	0.02369221858680248	0.0	0.0	0.0001750145020196214	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001032759246299975	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002428304869681597	0.0	0.0	0.02348746359348297	0.0	0.0	0.014980498701334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
xB0103	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001554177433717996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.81719078682363e-05	1.097307904274203e-05	4.781032475875691e-05	3.92299443774391e-06	0.0	0.0	1.031155412792306e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01826802641153336	0.0	1.52331253389093e-07	0.0	0.0	0.02144507318735123	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002609588555060327	0.0	0.0	0.0	0.0001812721748137847	0.0	0.0001798282901290804	0.0	0.0001766756031429395	0.0	0.0001842760830186307	0.0	0.0004040187923237681	0.0	0.0	0.0001700663415249437	0.0	0.0002032246702583507	0.0	0.0	0.0	0.0	0.0	0.0	0.0001754480181261897	0.0001902147778309882	0.000187081765034236	0.02348746359348297	0.0	0.0	0.0	0.0	0.0	0.0	0.02348746359348297	0.0	0.0	0.0	0.0	0.02591794356703758	0.00019343156600371	0.0	0.0	0.02369221858680248	0.0	0.0	0.0001750145020196214	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001032759246299975	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002428304869681597	0.0	0.0	0.02348746359348297	0.0	0.0	0.014980498701334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
xB0104	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001554177433717996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.81719078682363e-05	1.097307904274203e-05	4.781032475875691e-05	3.92299443774391e-06	0.0	0.0	1.031155412792306e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01826802641153336	0.0	1.52331253389093e-07	0.0	0.0	0.02144507318735123	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002609588555060327	0.0	0.0	0.0	0.0001812721748137847	0.0	0.0001798282901290804	0.0	0.0001766756031429395	0.0	0.0001842760830186307	0.0	0.0004040187923237681	0.0	0.0	0.0001700663415249437	0.0	0.0002032246702583507	0.0	0.0	0.0	0.0	0.0	0.0	0.0001754480181261897	0.0001902147778309882	0.000187081765034236	0.02348746359348297	0.0	0.0	0.0	0.0	0.0	0.0	0.02348746359348297	0.0	0.0	0.0	0.0	0.02591794356703758	0.00019343156600371	0.0	0.0	0.02369221858680248	0.0	0.0	0.0001750145020196214	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001032759246299975	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002428304869681597	0.0	0.0	0.02348746359348297	0.0	0.0	0.014980498701334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
xB0106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001554177433717996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.81719078682363e-05	1.097307904274203e-05	4.781032475875691e-05	3.92299443774391e-06	0.0	0.0	1.031155412792306e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01826802641153336	0.0	1.52331253389093e-07	0.0	0.0	0.02144507318735123	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002609588555060327	0.0	0.0	0.0	0.0001812721748137847	0.0	0.0001798282901290804	0.0	0.0001766756031429395	0.0	0.0001842760830186307	0.0	0.0004040187923237681	0.0	0.0	0.0001700663415249437	0.0	0.0002032246702583507	0.0	0.0	0.0	0.0	0.0	0.0	0.0001754480181261897	0.0001902147778309882	0.000187081765034236	0.02348746359348297	0.0	0.0	0.0	0.0	0.0	0.0	0.02348746359348297	0.0	0.0	0.0	0.0	0.02591794356703758	0.00019343156600371	0.0	0.0	0.02369221858680248	0.0	0.0	0.0001750145020196214	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001032759246299975	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002428304869681597	0.0	0.0	0.02348746359348297	0.0	0.0	0.014980498701334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
xB0107	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001554177433717996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.81719078682363e-05	1.097307904274203e-05	4.781032475875691e-05	3.92299443774391e-06	0.0	0.0	1.031155412792306e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01826802641153336	0.0	1.52331253389093e-07	0.0	0.0	0.02144507318735123	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002609588555060327	0.0	0.0	0.0	0.0001812721748137847	0.0	0.0001798282901290804	0.0	0.0001766756031429395	0.0	0.0001842760830186307	0.0	0.0004040187923237681	0.0	0.0	0.0001700663415249437	0.0	0.0002032246702583507	0.0	0.0	0.0	0.0	0.0	0.0	0.0001754480181261897	0.0001902147778309882	0.000187081765034236	0.02348746359348297	0.0	0.0	0.0	0.0	0.0	0.0	0.02348746359348297	0.0	0.0	0.0	0.0	0.02591794356703758	0.00019343156600371	0.0	0.0	0.02369221858680248	0.0	0.0	0.0001750145020196214	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001032759246299975	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002428304869681597	0.0	0.0	0.02348746359348297	0.0	0.0	0.014980498701334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
xB0108	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001554177433717996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.81719078682363e-05	1.097307904274203e-05	4.781032475875691e-05	3.92299443774391e-06	0.0	0.0	1.031155412792306e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01826802641153336	0.0	1.52331253389093e-07	0.0	0.0	0.02144507318735123	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002609588555060327	0.0	0.0	0.0	0.0001812721748137847	0.0	0.0001798282901290804	0.0	0.0001766756031429395	0.0	0.0001842760830186307	0.0	0.0004040187923237681	0.0	0.0	0.0001700663415249437	0.0	0.0002032246702583507	0.0	0.0	0.0	0.0	0.0	0.0	0.0001754480181261897	0.0001902147778309882	0.000187081765034236	0.02348746359348297	0.0	0.0	0.0	0.0	0.0	0.0	0.02348746359348297	0.0	0.0	0.0	0.0	0.02591794356703758	0.00019343156600371	0.0	0.0	0.02369221858680248	0.0	0.0	0.0001750145020196214	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001032759246299975	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002428304869681597	0.0	0.0	0.02348746359348297	0.0	0.0	0.014980498701334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
xB0109	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001554177433717996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.81719078682363e-05	1.097307904274203e-05	4.781032475875691e-05	3.92299443774391e-06	0.0	0.0	1.031155412792306e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01826802641153336	0.0	1.52331253389093e-07	0.0	0.0	0.02144507318735123	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002609588555060327	0.0	0.0	0.0	0.0001812721748137847	0.0	0.0001798282901290804	0.0	0.0001766756031429395	0.0	0.0001842760830186307	0.0	0.0004040187923237681	0.0	0.0	0.0001700663415249437	0.0	0.0002032246702583507	0.0	0.0	0.0	0.0	0.0	0.0	0.0001754480181261897	0.0001902147778309882	0.000187081765034236	0.02348746359348297	0.0	0.0	0.0	0.0	0.0	0.0	0.02348746359348297	0.0	0.0	0.0	0.0	0.02591794356703758	0.00019343156600371	0.0	0.0	0.02369221858680248	0.0	0.0	0.0001750145020196214	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001032759246299975	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002428304869681597	0.0	0.0	0.02348746359348297	0.0	0.0	0.014980498701334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
xB0110	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001554177433717996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.81719078682363e-05	1.097307904274203e-05	4.781032475875691e-05	3.92299443774391e-06	0.0	0.0	1.031155412792306e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01826802641153336	0.0	1.52331253389093e-07	0.0	0.0	0.02144507318735123	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002609588555060327	0.0	0.0	0.0	0.0001812721748137847	0.0	0.0001798282901290804	0.0	0.0001766756031429395	0.0	0.0001842760830186307	0.0	0.0004040187923237681	0.0	0.0	0.0001700663415249437	0.0	0.0002032246702583507	0.0	0.0	0.0	0.0	0.0	0.0	0.0001754480181261897	0.0001902147778309882	0.000187081765034236	0.02348746359348297	0.0	0.0	0.0	0.0	0.0	0.0	0.02348746359348297	0.0	0.0	0.0	0.0	0.02591794356703758	0.00019343156600371	0.0	0.0	0.02369221858680248	0.0	0.0	0.0001750145020196214	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001032759246299975	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002428304869681597	0.0	0.0	0.02348746359348297	0.0	0.0	0.014980498701334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
